UsQ     +/-     UsCH    +/-     UpCH    ran     sys     PCH     ran     sys     rhoCH   ran     sys 
11.73	0.19	12.36	0.11	7.26	0.16	0.13	0.94	0.02	0.02	2.54	0.09	0.06
13.68	0.1		14.76	0.12	9.01	0.12	0.21	1.4	    0.02	0.03	2.7	    0.07	0.1
14.47	0.11	15.74	0.12	9.86	0.14	0.22	1.63	0.02	0.04	2.81	0.08	0.1
14.59	0.12	15.73	0.09	10.01	0.15	0.22	1.65	0.03	0.04	2.89	0.08	0.11
14.85	0.12	16.09	0.09	10.29	0.15	0.22	1.74	0.03	0.04	2.91	0.08	0.11
15.38	0.14	16.72	0.1		10.89	0.18	0.22	1.91	0.03	0.04	3.01	0.1	    0.11
17.09	0.09	18.95	0.1		12.6	0.1 	0.1		2.51	0.02	0.02	3.13	0.07	0.05
17.63	0.1		19.92	0.1		13.06	0.11	0.1		2.73	0.03	0.02	3.05	0.06	0.05
18.08	0.12	20.27	0.1		13.51	0.14	0.11	2.88	0.03	0.02	3.15	0.08	0.05
18.23	0.12	20.41	0.1		13.66	0.14	0.11	2.93	0.03	0.02	3.18	0.08	0.05
19.72	0.12	22.26	0.1		15.08	0.14	0.14	3.52	0.03	0.03	3.25	0.07	0.06
21.16	0.1		23.87	0.13	16.46	0.11	0.17	4.13	0.03	0.04	3.38	0.07	0.08
21.46	0.09	24.3	0.09	16.73	0.11	0.17	4.27	0.03	0.04	3.37	0.06	0.08
22.45	0.1		25.92	0.12	17.6	0.12	0.19	4.79	0.04	0.05	3.27	0.06	0.08
24.1	0.13	27.98	0.1		19.16	0.15	0.23	5.63	0.05	0.07	3.33	0.07	0.09
24.49	0.11	28.58	0.1		19.51	0.12	0.24	5.86	0.04	0.07	3.31	0.05	0.09
25.64	0.11	29.73	0.16	20.64	0.13	0.27	6.44	0.05	0.08	3.43	0.07	0.1
25.89	0.12	29.94	0.14	20.89	0.14	0.27	6.57	0.05	0.09	3.47	0.07	0.11
29.42	0.18	34.36	0.11	24.22	0.21	0.37	8.74	0.08	0.13	3.56	0.08	0.13
